scenario,method,traj_id,traj_pos_rmse_m,traj_vel_rmse_mps
test,KalmanNetLike,14,2070.314833128803,1.9546153063873546
test,KalmanNetLike,15,2213.5631559831145,1.7595025043871177
test,KalmanNetLike,16,2345.225686322416,1.687011048364375
test,KalmanNetLike,17,3587.5647431578227,2.8963712966829203
test,KalmanNetLike,18,2467.709972829562,3.39484290062536
test,KalmanNetLike,19,2782.624759911335,3.2184479952179967
test,KalmanNetLike,20,6215.59500668693,6.845107013185526
test,KalmanNetLike,21,5164.039014704917,4.970243354892757
test,KalmanNetLike,22,2121.9143720636794,3.746690625569026
test,KalmanNetLike,23,2417.2193836478964,2.783127130927337
test,KalmanNetLike,24,5255.81678876046,5.938908620913737
test,KalmanNetLike,25,4327.319315148919,4.844905385902452
test,KalmanNetLike,26,2113.4847599388763,2.272718629448214
test,KalmanNetLike,27,5350.929869230325,6.458458562490923
test,KalmanNetLike,28,4484.846607356961,9.012968532415675
test,KalmanNetLike,29,2339.8976352908635,3.7557901097587774
test,KalmanNetLike,30,1783.3540445670117,3.114562783902434
test,KalmanNetLike,31,2374.1234540791133,1.5111092285118417
test,KalmanNetLike,32,5344.655196005218,7.065674753642098
test,KalmanNetLike,33,14011.761921742545,16.8286093018775
test,KalmanNetLike,34,3066.8644816492247,3.296336130366268
test,KalmanNetLike,35,5106.11223132221,4.701481598824367
test,KalmanNetLike,36,8151.054464415226,6.449991466110113
test,KalmanNetLike,37,12501.039809776918,16.840690723305727
test,KalmanNetLike,38,3273.579639037964,2.8482656736487213
test,KalmanNetLike,39,2494.165097750102,2.4623735482338827
test,KalmanNetLike,40,2138.24243656874,1.6219549712268646
test,KalmanNetLike,41,11539.731738300663,8.870271883908964
test,KalmanNetLike,42,2750.9148518253496,2.861219707812739
test,KalmanNetLike,43,13903.946386113688,16.610779282183337
test,KalmanNetLike,44,3142.3910055708216,3.837219148446511
test,KalmanNetLike,45,1776.809164096108,1.593291551558667
test,KalmanNetLike,46,2654.1449910245246,2.1197497970870685
test,KalmanNetLike,47,4504.285785959222,6.620159428185739
test,KalmanNetLike,48,1450.6568460849307,0.8419949613317553
test,KalmanNetLike,49,2428.0281405487995,3.608358871392307
test,KalmanNetLike,50,5949.671828118149,8.195923640181592
test,KalmanNetLike,51,7486.03003403615,7.767740768355266
test,KalmanNetLike,52,1569.9620823398377,1.3219644350072017
test,KalmanNetLike,53,16995.359492922034,15.535065494850326
test,KalmanNetLike,54,3548.004348967628,5.393827122228473
test,KalmanNetLike,55,5247.413954042284,5.978248613158041
test,KalmanNetLike,56,1513.973362858609,1.3590460094296901
test,KalmanNetLike,57,2923.2626634296257,3.437134138093438
test,KalmanNetLike,58,7041.976813131923,9.118249044457668
test,KalmanNetLike,59,7820.090432303438,6.45600882926273
test,KalmanNetLike,60,1877.2727878192877,2.343414784581388
test,KalmanNetLike,61,22523.74760393871,25.107718163698458
test,KalmanNetLike,62,9055.11477329386,11.201234656453313
test,KalmanNetLike,63,3686.1965101098494,2.8639733799679292
test,KalmanNetGain,0,12910.892528009033,16.24884447131608
test,KalmanNetGain,1,189.2547522715197,0.2777233581696914
test,KalmanNetGain,2,182.27348548615456,0.32256609244779516
test,KalmanNetGain,3,1957.171466024123,2.4681136889522186
test,KalmanNetGain,4,123.58377768191156,0.22592605793948484
test,KalmanNetGain,5,1203.5621272507562,2.8342758424805603
test,KalmanNetGain,6,3977.2142708824176,5.792337708880332
test,KalmanNetGain,7,8801.207231105727,7.254842692847922
test,KalmanNetGain,8,359.4908599485015,0.6885168251661119
test,KalmanNetGain,9,309.88939000439916,0.6438126851469237
test,KalmanNetGain,10,6740.861482967867,6.767367968155879
test,KalmanNetGain,11,7886.336001548876,10.58433626115205
test,KalmanNetGain,12,1039.9573597450274,1.1426535349891471
test,KalmanNetGain,13,616.1853507054271,0.9405430896464102
test,KalmanNetGain,14,748.3624754251358,1.4862644902187891
test,KalmanNetGain,15,1058.8754980046197,1.2147315848991977
test,KalmanNetGain,16,981.6092055082869,0.9509273247636907
test,KalmanNetGain,17,2478.5915358086354,2.0826199070175853
test,KalmanNetGain,18,939.0883428805249,2.3522322466245598
test,KalmanNetGain,19,1057.4531182006842,2.9459887485063745
test,KalmanNetGain,20,1432.4110981202693,1.8129816968776296
